Year,Tornadoes,Population,Mean.annual.temp
1953,524,3.319,58.9
1954,120,3.359,59
1955,597,3.415,58
1956,602,3.415,58.6
1957,572,3.434,58.5
1958,581,3.471,55.6
1959,822,3.522,57.8
1960,565,3.575,55.8
1961,703,3.622,56.7
1962,478,3.673,57.2
1963,230,3.718,56
1964,670,3.771,57.4
1965,638,3.798,57.8
1966,840,3.822,56.2
1967,904,3.859,56.7
1968,322,3.878,56.1
1969,594,3.897,56.1
1970,792,3.926,57.1
1971,362,4.0136,57.7
1972,333,4.0946,57.2
1973,1229,4.4174,58.3
1974,1266,4.2135,57.7
1975,810,4.2756,57.8
1976,1014,4.3469,55.5
1977,1389,4.4229,57.3
1978,914,4.4863,56.1
1979,1111,4.5605,55.8
1980,534,4.591,57.2
1981,888,4.6277,56.7
1982,628,4.646,57.6
1983,804,4.6598,56.7
1984,840,4.6967,57.5
1985,810,4.7153,57.3
1986,1137,4.7387,58.8
1987,902,4.7829,58.4
1988,1190,4.8224,56.7
1989,960,4.8544,56.6
1990,968,4.8945,59.4
1991,1187,4.9666,59.1
1992,1170,5.0497,57
1993,808,5.1376,57.2
1994,793,5.214,57.6
1995,924,5.3269,57.4
1996,974,5.4166,56.6
1997,1436,5.4992,56.8
1998,1132,5.57,60.2
1999,843,5.6397,59.3
2000,1305,5.7037,58
2001,463,5.7508,58.2
2002,1066,5.7959,58.7
2003,1260,5.8478,57.5
2004,918,5.9108,58.5
2005,771,5.9911,58.8
2006,1319,6.0888,58.9
2007,1056,6.1757,59.9
2008,1028,6.2474,57.6
2009,1077,6.306,57.6
2010,1346,6.3553,57.9
2011,1346,6.3974,58.9
2012,919,6.4513,60.3
