"","Habitat","Year","Replicate","Brown.algae","Green.algae","Red.algae","Nerita","Cellana","Austrocochlea","Bembicium","Morula","Patiriella","Pyura","Actinia","Barnacles"
"1","Emergent",2016,1,0,0,0,25,6,0,2,5,0,0,0,50
"2","Emergent",2016,2,0,60,30,0,28,0,0,0,0,0,0,0
"3","Emergent",2016,3,0,0,0,6,2,0,2,0,0,0,0,0
"4","Emergent",2016,4,0,0,0,0,11,0,0,0,0,0,0,0
"5","Emergent",2016,5,0,0,2,4,18,3,11,0,0,0,0,4
"6","Emergent",2016,6,0,0,0,0,11,0,0,0,0,0,0,23
"7","Emergent",2016,7,0,0,4,17,13,0,15,2,0,0,0,0
"8","Emergent",2016,8,0,0,0,42,15,0,9,3,12,0,0,0
"9","Emergent",2016,9,0,0,0,11,14,0,38,7,0,0,0,60
"10","Emergent",2016,10,0,0,0,15,14,0,20,10,0,0,0,30
"11","Emergent",2016,11,0,0,0,0,0,0,0,4,0,0,0,0
"12","Emergent",2016,12,0,0,0,23,0,0,0,0,0,0,0,10
"13","Emergent",2016,13,0,0,0,37,3,0,38,2,0,0,0,40
"14","Emergent",2016,14,0,0,0,22,14,0,4,4,0,0,0,20
"15","Emergent",2016,15,0,0,0,2,5,0,5,0,0,0,0,80
"16","Emergent",2016,16,0,0,0,5,11,0,0,0,0,0,0,10
"17","Emergent",2016,17,0,0,0,20,0,0,0,1,0,0,0,0
"18","Emergent",2016,18,0,0,0,20,8,0,8,1,0,0,0,30
"19","Emergent",2016,19,0,0,0,26,15,0,0,4,0,0,0,30
"20","Emergent",2016,20,0,0,0,32,0,0,1,2,0,0,0,20
"21","Emergent",2016,21,0,0,0,31,6,0,7,0,1,0,0,0
"22","Emergent",2016,22,0,95,0,0,0,1,0,0,1,0,0,0
"23","Emergent",2016,23,0,5,0,7,20,3,0,1,8,0,5,0
"24","Emergent",2016,24,0,0,0,21,6,8,3,0,1,0,0,1
"25","Emergent",2016,25,2,0,0,45,6,0,27,4,0,0,0,35
"26","Emergent",2016,26,0,0,0,10,14,3,3,14,0,0,0,95
"27","Emergent",2016,27,5,1,0,43,20,0,11,0,4,0,0,0
"28","Emergent",2016,28,0,1,0,0,22,0,0,1,0,0,0,0
"29","Emergent",2016,29,15,0,0,25,11,1,19,2,0,0,0,0
"30","Rockpool",2016,1,0,0,10,27,0,1,17,20,0,0,1,0
"31","Rockpool",2016,2,5,6,60,0,3,0,0,0,2,0,0,0
"32","Rockpool",2016,3,0,90,0,44,1,10,8,5,0,0,0,0
"33","Rockpool",2016,4,0,90,0,51,2,11,6,0,1,0,5,0
"34","Rockpool",2016,5,40,2,40,0,21,0,0,0,6,0,0,0
"35","Rockpool",2016,6,3,0,5,0,9,0,0,0,10,0,0,0
"36","Rockpool",2016,7,15,8,25,0,23,0,0,1,10,0,0,0
"37","Rockpool",2016,8,0,0,10,0,4,2,0,2,8,0,0,0
