Observation,Longitude,Latitude,Number,Species,Behaviour
1,151.23373,-33.91677,1,Myna,Resting
2,151.23189,-33.91656,1,Ibis,Flying
3,151.22642,-33.91575,1,Ibis,Resting
4,151.22642,-33.91575,2,Ibis,Walking
5,151.22642,-33.91575,2,Ibis,Feeding
6,151.22682,-33.91612,2,Ibis,Resting
7,151.2263,-33.91663,1,Magpie,Walking
8,151.22772,-33.91842,2,Magpie,Walking
9,151.22814,-33.91891,2,Ibis,Feeding
10,151.22837,-33.91894,3,Ibis,Feeding
11,151.2285,-33.91888,2,Ibis,Feeding
12,151.22977,-33.91911,1,Ibis,Feeding
13,151.22994,-33.91915,1,Ibis,Feeding
14,151.231,-33.91681,1,Ibis,Walking
15,151.2286,-33.91361,2,Ibis,Feeding
16,151.22676,-33.91537,1,Ibis,Feeding
17,151.2264,-33.91586,2,Ibis,Resting
18,151.22655,-33.91581,1,Ibis,Walking
19,151.2307,-33.91712,1,Ibis,Feeding
20,151.23084,-33.91715,1,Ibis,Resting
21,151.23133,-33.91605,1,Ibis,Resting
22,151.23076,-33.91698,1,Ibis,Walking
23,151.23036,-33.91716,1,Ibis,Walking
24,151.22771,-33.91891,3,Ibis,Walking
25,151.23027,-33.91711,1,Ibis,Feeding
26,151.22964,-33.91908,1,Ibis,Feeding
27,151.22982,-33.9192,2,Ibis,Walking
28,151.23085,-33.91896,1,Ibis,Walking
29,151.2311,-33.91852,1,Ibis,Walking
30,151.23006,-33.91717,1,Ibis,Walking
31,151.2278,-33.90186,2,Magpie,Walking
32,151.22727,-33.91867,3,Ibis,Walking
33,151.22837,-33.91903,1,Magpie,Walking
34,151.22891,-33.91923,2,Lorikeet,Resting
35,151.22911,-33.91891,1,Ibis,Walking
36,151.22987,-33.91906,1,Ibis,Walking
37,151.22976,-33.91921,1,Ibis,Walking
38,151.22971,-33.91923,1,Ibis,Resting
39,151.23153,-33.9183,1,Ibis,Walking
40,151.23336,-33.91652,2,Ibis,Walking
41,151.23379,-33.91698,4,Myna,Resting
42,151.23289,-33.91823,4,Swallow,Feeding
43,151.22965,-33.91901,1,Ibis,Feeding
44,151.2288,-33.91882,2,Ibis,Feeding
45,151.22805,-33.91772,3,Ibis,Feeding
46,151.22723,-33.91799,2,Magpie,Feeding
47,151.22606,-33.91722,6,Lorikeet,Resting
48,151.2264,-33.91687,1,Magpie,Resting
49,151.22644,-33.91598,1,Ibis,Feeding
50,151.22628,-33.9159,1,Ibis,Resting
51,151.23072,-33.91712,1,Ibis,Walking
52,151.23097,-33.91613,3,Magpie,Feeding
53,151.23324,-33.91628,2,Magpie,Feeding
54,151.23334,-33.91648,1,Ibis,Walking
55,151.2339,-33.91603,1,Myna,Resting
56,151.23433,-33.91742,2,Swallow,Feeding
57,151.234,-33.91697,2,Myna,Feeding
58,151.23379,-33.91694,3,Myna,Resting
59,151.23308,-33.91708,1,Crow,Resting
60,151.23086,-33.91805,5,Myna,Resting
61,151.23112,-33.91635,3,Ibis,Resting
62,151.22728,-33.91551,4,Ibis,Walking
63,151.2263,-33.91588,1,Ibis,Walking
64,151.2263,-33.91591,2,Ibis,Walking
65,151.22689,-33.91619,2,Ibis,Walking
66,151.22692,-33.91613,1,Ibis,Feeding
67,151.22723,-33.91842,2,Ibis,Walking
68,151.22719,-33.91881,1,Pigeon,Walking
69,151.22802,-33.91885,1,Pigeon,Resting
70,151.22818,-33.91901,1,Magpie,Resting
71,151.22897,-33.91922,2,Lorikeet,Resting
72,151.22915,-33.91892,1,Ibis,Resting
73,151.22955,-33.91909,1,Myna,Resting
74,151.22968,-33.91919,1,Ibis,Feeding
75,151.22998,-33.91907,1,Ibis,Feeding
76,151.23002,-33.91869,1,Crow,Resting
77,151.23118,-33.9185,1,Ibis,Feeding
78,151.23145,-33.91824,2,Myna,Resting
79,151.23006,-33.91717,1,Ibis,Feeding
80,151.2291,-33.9188,1,Ibis,Walking
81,151.22915,-33.91902,1,Ibis,Feeding
82,151.22904,-33.91915,1,Ibis,Resting
83,151.2301,-33.91901,1,Ibis,Walking
84,151.22808,-33.91833,1,Ibis,Walking
85,151.22641,-33.91677,1,Ibis,Walking
86,151.22678,-33.91593,1,Ibis,Walking
87,151.22621,-33.91584,2,Ibis,Feeding
88,151.22608,-33.91574,4,Ibis,Feeding
89,151.22632,-33.91551,1,Ibis,Walking
90,151.22746,-33.9155,2,Ibis,Feeding
91,151.23108,-33.91677,1,Ibis,Resting
92,151.23094,-33.9162,1,Ibis,Resting
93,151.22899,-33.91753,1,Ibis,Feeding
94,151.22891,-33.91753,1,Ibis,Walking
95,151.22871,-33.91747,4,Ibis,Feeding
96,151.22801,-33.91751,3,Ibis,Resting
97,151.22939,-33.91894,1,Ibis,Feeding
98,151.22813,-33.91846,1,Ibis,Feeding
99,151.23001,-33.91741,1,Ibis,Feeding
100,151.22728,-33.91869,2,Ibis,Walking
101,151.22728,-33.91547,4,Ibis,Resting
102,151.22697,-33.91559,2,Ibis,Resting
103,151.22641,-33.91365,5,Ibis,Feeding
104,151.22652,-33.9159,1,Ibis,Walking
105,151.22847,-33.91828,8,Ibis,Feeding
106,151.23004,-33.91898,2,Ibis,Feeding
107,151.23378,-33.91698,1,Ibis,Walking
108,151.23331,-33.91672,1,Ibis,Walking
109,151.22987,-33.91631,1,Ibis,Feeding
110,151.22931,-33.91624,1,Ibis,Feeding
111,151.22642,-33.91553,5,Ibis,Feeding
112,151.2283,-33.91794,8,Ibis,Feeding
113,151.22997,-33.9189,2,Ibis,Feeding
114,151.23098,-33.91694,1,Ibis,Walking
115,151.22869,-33.91747,7,Ibis,Feeding
116,151.22823,-33.91766,1,Ibis,Walking
117,151.22876,-33.91799,1,Ibis,Feeding
118,151.22883,-33.91833,2,Ibis,Feeding
119,151.22983,-33.91909,1,Ibis,Feeding
120,151.23063,-33.9186,1,Ibis,Walking
121,151.2266,-33.91594,1,Ibis,Feeding
122,151.22635,-33.91584,3,Ibis,Feeding
123,151.23073,-33.91852,2,Ibis,Walking
124,151.22869,-33.91747,7,Ibis,Feeding
125,151.22823,-33.91766,1,Ibis,Feeding
126,151.22876,-33.91799,1,Ibis,Resting
127,151.22883,-33.91733,2,Ibis,Feeding
128,151.22983,-33.91909,1,Ibis,Feeding
129,151.23063,-33.9186,1,Ibis,Resting
130,151.2266,-33.91594,1,Ibis,Resting
131,151.22635,-33.91584,3,Ibis,Feeding
132,151.23073,-33.91652,2,Ibis,Walking
133,151.23381,-33.91732,1,Myna,Walking
134,151.2265,-33.91556,3,Ibis,Feeding
135,151.22641,-33.91559,1,Ibis,Walking
136,151.22643,-33.91586,2,Ibis,Walking
137,151.22694,-33.91562,1,Ibis,Resting
138,151.2267,-33.91579,3,Myna,Resting
139,151.22664,-33.91605,2,Ibis,Resting
140,151.22702,-33.91734,2,Ibis,Resting
141,151.22794,-33.91765,3,Ibis,Walking
142,151.22771,-33.9183,3,Magpie,Walking
143,151.22986,-33.919,2,Ibis,Feeding
144,151.22033,-33.91896,2,Myna,Resting
145,151.23064,-33.91898,1,Lorikeet,Resting
146,151.23103,-33.91748,1,Myna,Resting
147,151.23087,-33.9175,1,Myna,Resting
148,151.23093,-33.91759,1,Myna,Resting
149,151.23112,-33.91718,1,Ibis,Walking
150,151.2301,-33.91732,1,Ibis,Walking
151,151.23108,-33.91773,1,Myna,Resting
152,151.23138,-33.91816,1,Myna,Resting
153,151.23378,-33.91693,4,Myna,Feeding
154,151.22999,-33.919,2,Ibis,Feeding
155,151.2287,-33.91873,8,Ibis,Feeding
156,151.2351,-33.91696,2,Lorikeet,Walking
157,151.23589,-33.91836,1,Ibis,Walking
158,151.23381,-33.91732,3,Myna,Walking
159,151.2265,-33.91556,1,Myna,Feeding
160,151.22641,-33.91559,2,Ibis,Walking
161,151.22643,-33.91586,1,Ibis,Walking
162,151.22694,-33.91562,3,Ibis,Resting
163,151.2267,-33.91579,2,Myna,Resting
164,151.22664,-33.91605,2,Ibis,Resting
165,151.22702,-33.91734,3,Lorikeet,Walking
166,151.22794,-33.91765,3,Ibis,Walking
167,151.22771,-33.91856,2,Magpie,Walking
168,151.22986,-33.919,2,Ibis,Feeding
169,151.23033,-33.91896,1,Myna,Resting
170,151.23064,-33.91898,1,Myna,Resting
171,151.23103,-33.91748,1,Myna,Resting
172,151.23087,-33.9175,1,Myna,Resting
173,151.23093,-33.91759,1,Myna,Resting
174,151.23112,-33.918718,1,Ibis,Walking
175,151.23101,-33.91732,1,Ibis,Walking
176,151.23108,-33.91773,1,Myna,Resting
177,151.23135,-33.91816,1,Myna,Resting
178,151.23372,-33.91705,3,Myna,Walking
179,151.2312,-33.91812,2,Myna,Walking
180,151.22876,-33.91774,1,Ibis,Feeding
181,151.22876,-33.91756,6,Ibis,Feeding
182,151.22864,-33.91813,1,Ibis,Feeding
183,151.22865,-33.91753,3,Ibis,Feeding
184,151.22957,-33.91899,1,Ibis,Feeding
185,151.22969,-33.91656,1,Ibis,Feeding
186,151.22971,-33.91633,1,Ibis,Feeding
187,151.22948,-33.91633,1,Ibis,Feeding
188,151.22937,-33.91648,1,Ibis,Feeding
189,151.22915,-33.91723,2,Ibis,Feeding
190,151.22885,-33.9175,6,Ibis,Feeding
191,151.22868,-33.91789,2,Ibis,Walking
192,151.22876,-33.91852,2,Ibis,Feeding
193,151.22955,-33.9192,1,Ibis,Feeding
194,151.23018,-33.91718,1,Ibis,Walking
195,151.2301,-33.9171,1,Ibis,Feeding
196,151.22852,-33.91747,2,Ibis,Feeding
197,151.22868,-33.91755,2,Ibis,Feeding
198,151.22909,-33.91745,1,Ibis,Walking
199,151.22901,-33.91746,1,Ibis,Walking
200,151.22858,-33.91808,1,Ibis,Feeding
201,151.22873,-33.91834,3,Ibis,Feeding
202,151.22934,-33.91894,1,Ibis,Walking
203,151.22754,-33.91552,1,Ibis,Feeding
204,151.22745,-33.91556,4,Ibis,Resting
205,151.22627,-33.91559,3,Ibis,Resting
206,151.22647,-33.91564,2,Ibis,Resting
207,151.22645,-33.91586,1,Ibis,Resting
208,151.2291,-33.9176,4,Ibis,Resting
209,151.23394,-33.91715,1,Ibis,Resting
210,151.22723,-33.91565,7,Ibis,Resting
211,151.227,-33.91552,1,Ibis,Resting
212,151.22672,-33.91596,3,Ibis,Walking
213,151.2264,-33.91577,1,Ibis,Walking
214,151.22647,-33.91596,1,Ibis,Feeding
215,151.22875,-33.9182,2,Ibis,Walking
216,151.22966,-33.91904,1,Ibis,Feeding
217,151.22723,-33.91546,7,Ibis,Resting
218,151.22717,-33.91552,1,Ibis,Walking
219,151.22672,-33.91593,3,Ibis,Walking
220,151.23363,-33.91696,2,Ibis,Walking
221,151.23376,-33.91696,3,Ibis,Walking
222,151.23198,-33.91815,1,Ibis,Resting
223,151.23113,-33.91817,1,Ibis,Resting
224,151.23091,-33.91753,1,Ibis,Walking
225,151.22908,-33.91542,1,Ibis,Feeding
226,151.23247,-33.91615,1,Ibis,Walking
